Name,Height_cm,Weight_kg,Label
Bella,25,4.5,Cat
Max,55,22,Dog
Luna,23,3.8,Cat
Charlie,60,25,Dog
Lucy,24,4.2,Cat
Cooper,58,24,Dog
Milo,26,4.7,Cat
Rocky,65,28,Dog
Kitty,22,3.5,Cat
Buddy,62,27,Dog
Simba,27,5.0,Cat
Duke,70,30,Dog
Nala,24,4.1,Cat
Bear,68,29,Dog
Chloe,23,3.9,Cat
Zeus,72,32,Dog
Lily,25,4.3,Cat
Toby,57,23,Dog
Cleo,26,4.8,Cat
Oscar,63,26,Dog
Misty,22,3.6,Cat
Bailey,59,24,Dog
Shadow,27,5.2,Cat
Rex,66,28,Dog
Sophie,24,4.0,Cat
Buster,61,26,Dog
Daisy,23,3.7,Cat
Bruno,67,29,Dog
Penny,25,4.4,Cat
Murphy,64,27,Dog
Zoe,24,4.1,Cat
Leo,69,30,Dog
Ruby,23,3.8,Cat
Sam,60,25,Dog
Coco,26,4.9,Cat
Hunter,71,31,Dog
Gracie,22,3.5,Cat
Jack,58,24,Dog
Ellie,25,4.2,Cat
Diesel,65,28,Dog
Pepper,24,4.0,Cat
Thor,73,33,Dog
Ginger,23,3.9,Cat
Ace,62,26,Dog
Mocha,26,5.1,Cat
Bandit,68,29,Dog
Loki,27,5.3,Cat
Tank,70,31,Dog
Rosie,24,4.2,Cat
King,66,28,Dog
Maggie,23,3.8,Cat
Harley,63,26,Dog
Olive,25,4.5,Cat
Jasper,61,25,Dog
Millie,22,3.6,Cat
Boomer,64,27,Dog
Tigger,27,5.2,Cat
Samson,69,30,Dog
Poppy,24,4.1,Cat
Apollo,72,32,Dog
Nina,23,3.7,Cat
Cash,60,25,Dog
Snowy,25,4.3,Cat
Ranger,67,29,Dog
Angel,22,3.5,Cat
Scout,59,24,Dog
Sunny,26,4.8,Cat
Odin,71,31,Dog
Cookie,24,4.0,Cat
Chase,62,26,Dog
Midnight,27,5.4,Cat
Blaze,68,29,Dog
Fluffy,23,3.9,Cat
Copper,63,27,Dog
Smokey,26,5.0,Cat
Tyson,70,31,Dog
Pumpkin,24,4.2,Cat
Ghost,66,28,Dog
Whiskers,25,4.6,Cat
Zeke,61,25,Dog
Blue,23,3.8,Cat
Finn,64,27,Dog
Tiger,27,5.3,Cat
Axel,69,30,Dog
Peanut,22,3.5,Cat
Rocco,65,28,Dog
Hazel,24,4.1,Cat
Brutus,72,32,Dog
Muffin,23,3.7,Cat
Kobe,60,25,Dog
Sassy,25,4.4,Cat
Arlo,67,29,Dog
Pixie,22,3.6,Cat
Benji,58,24,Dog
Nova,26,4.9,Cat
Hank,63,26,Dog
