Mango_ID,Age_on_Tree_Days,Weight_grams,Status
M001,45,180,Unripe
M002,46,185,Unripe
M003,47,190,Unripe
M004,48,195,Unripe
M005,49,200,Unripe
M006,50,205,Unripe
M007,51,210,Unripe
M008,52,215,Unripe
M009,53,220,Unripe
M010,54,225,Unripe
M011,55,230,Ready
M012,56,235,Ready
M013,57,240,Ready
M014,58,245,Ready
M015,59,250,Ready
M016,60,255,Ready
M017,61,260,Ready
M018,62,265,Ready
M019,63,270,Ready
M020,64,275,Ready
M021,65,280,Ready
M022,66,285,Ready
M023,67,290,Ready
M024,68,295,Ready
M025,69,300,Ready
M026,70,305,Ready
M027,71,310,Ready
M028,72,315,Ready
M029,73,320,Ready
M030,74,325,Ready
M031,75,330,Ready
M032,76,335,Ready
M033,77,340,Overripe
M034,78,345,Overripe
M035,79,350,Overripe
M036,80,355,Overripe
M037,81,360,Overripe
M038,82,365,Overripe
M039,83,370,Overripe
M040,84,375,Overripe
M041,85,380,Overripe
M042,86,385,Overripe
M043,87,390,Overripe
M044,88,395,Overripe
M045,89,400,Overripe
M046,90,405,Overripe
M047,91,410,Overripe
M048,92,415,Overripe
M049,93,420,Overripe
M050,94,425,Overripe
M051,95,430,Overripe
M052,96,435,Overripe
M053,97,440,Overripe
M054,98,445,Overripe
M055,99,450,Overripe
M056,100,455,Overripe
M057,101,460,Overripe
M058,102,465,Overripe
M059,103,470,Overripe
M060,104,475,Overripe
M061,105,480,Overripe
M062,106,485,Overripe
M063,107,490,Overripe
M064,108,495,Overripe
M065,109,500,Overripe
M066,110,505,Overripe
M067,111,510,Overripe
M068,112,515,Overripe
M069,113,520,Overripe
M070,114,525,Overripe
M071,115,530,Overripe
M072,116,535,Overripe
M073,117,540,Overripe
M074,118,545,Overripe
M075,119,550,Overripe
M076,120,555,Overripe
M077,121,560,Overripe
M078,122,565,Overripe
M079,123,570,Overripe
M080,124,575,Overripe
M081,125,580,Overripe
M082,126,585,Overripe
M083,127,590,Overripe
M084,128,595,Overripe
M085,129,600,Overripe
M086,130,605,Overripe
M087,131,610,Overripe
M088,132,615,Overripe
M089,133,620,Overripe
M090,134,625,Overripe
M091,135,630,Overripe
M092,136,635,Overripe
M093,137,640,Overripe
M094,138,645,Overripe
M095,139,650,Overripe
M096,140,655,Overripe
M097,141,660,Overripe
M098,142,665,Overripe
M099,143,670,Overripe
M100,144,675,Overripe
M101,300,2000,Overripe
M102,10,20,Unripe
M103,500,3500,Overripe
M104,5,10,Unripe
M105,450,3200,Overripe
